id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
141527,Но ведь у брата будет жена.,Но ведь у себя будет жена.,брата,себя,Syntax,Reflexives,external_possessor,external_possessor,librusec,2
163537,Там у Сонни Хокори есть казино.,Там у себя Хокори есть казино.,Сонни,себя,Syntax,Reflexives,external_possessor,external_possessor,librusec,2
144475,У Клер Ройленд была такая же.,У себя Ройленд была такая же.,Клер,себя,Syntax,Reflexives,external_possessor,external_possessor,librusec,3
172325,У Талли была душа змеи.,У себя была душа змеи.,Талли,себя,Syntax,Reflexives,external_possessor,external_possessor,librusec,3
180592,А у вас еще планы были.,А у себя еще планы были.,вас,себя,Syntax,Reflexives,external_possessor,external_possessor,librusec,2
178151,У Сары тоже были странности.,У себя тоже были странности.,Сары,себя,Syntax,Reflexives,external_possessor,external_possessor,librusec,2
170704,Но у Фосеттов проблемы не было.,Но у себя проблемы не было.,Фосеттов,себя,Syntax,Reflexives,external_possessor,external_possessor,librusec,2
137748,"У тебя была сестра, Лис.","У себя была сестра, Лис.",тебя,себя,Syntax,Reflexives,external_possessor,external_possessor,librusec,4
184802,У меня будет общество Ларисы.,У себя будет общество Ларисы.,меня,себя,Syntax,Reflexives,external_possessor,external_possessor,librusec,3
154533,У Валерика будут такие же волосы...,У себя будут такие же волосы...,Валерика,себя,Syntax,Reflexives,external_possessor,external_possessor,librusec,4
142257,У Мириел было множество секретов.,У себя было множество секретов.,Мириел,себя,Syntax,Reflexives,external_possessor,external_possessor,librusec,3
127579,У нее есть изображение жрецов!,У себя есть изображение жрецов!,нее,себя,Syntax,Reflexives,external_possessor,external_possessor,librusec,3
177436,Но у Алла вы все-таки были?,Но у себя вы все-таки были?,Алла,себя,Syntax,Reflexives,external_possessor,external_possessor,librusec,2
169061,У Коли Ручкина была такая температура.,У себя Ручкина была такая температура.,Коли,себя,Syntax,Reflexives,external_possessor,external_possessor,librusec,3
163698,У тебя есть блезнь раздвоение личмости.,У себя есть блезнь раздвоение личмости.,тебя,себя,Syntax,Reflexives,external_possessor,external_possessor,librusec,3
