id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
132968,Руками обхватила широкие плечи Окота.,Руками обхватила широкие плечники Окота.,плечи,плечники,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,2
211801,Под левый сосок в междуреберье.,Под левый сосокщик в междуреберье.,сосок,сосокщик,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,2
168527,Спуск темною ночью в Никиту...,Спуск темоватною ночью в Никиту...,темною,темоватною,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,3
196349,Син снова повернулся к номеру первому.,Син снова повернулся к номеру первецому.,первому,первецому,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,2
155442,Ранена ведь только крылатая тварь.,Ранена ведь только крылнатая тварь.,крылатая,крылнатая,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,3
125015,Только это уж другой сказ будет.,Только это уж другой сказник будет.,сказ,сказник,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,3
131448,Бросил он на ходовые весы.,Бросил он на ходчивовые весы.,ходовые,ходчивовые,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,2
204123,Поищем за них лучший маневр.,Поищем за них лучший маневрость.,маневр,маневрость,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,3
198866,Желтых хватается за левую станину.,Желтых хватается за левую станщикину.,станину,станщикину,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,2
213488,Такую продавать друзьям – последнее дело.,Такую продавать друзьям – последнее делнико.,дело,делнико,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,2
155944,В первом путешествии по Центр.,В первецом путешествии по Центр.,первом,первецом,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,2
191570,Что перед этим здешняя возня!,Что перед этим здешняя возчикня!,возня,возчикня,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,2
175926,Пусть силы грешной не боится!,Пусть силикы грешной не боится!,силы,силикы,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,2
131275,Наши часто уходили в большой бизнес.,Наши часто уходили в большской бизнес.,большой,большской,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,2
224973,Ружена - отличное место для базы.,Ружена - отличное местищо для базы.,место,местищо,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,3
156366,Борис разрезал финкой темный намокший рукав.,Борис разрезал финкой темоватный намокший рукав.,темный,темоватный,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,2
147801,Из этих миров – в третий?,Из этих миров – в третский?,третий,третский,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,2
221718,Хватка Доно оказалась весьма мужской.,Хватка Доно оказалась весьма мужоватской.,мужской,мужоватской,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,3
133055,Всеволод тоже откинул защитную личину шелома.,Всеволод тоже откинул защитную личикину шелома.,личину,личикину,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,2
206236,Багрянец рудной черты становится ярче.,Багрянец рудной чертникы становится ярче.,черты,чертникы,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,3
189607,Это тоже ради особой цели?,Это тоже ради особчикой цели?,особой,особчикой,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,1
193388,Однако притомился я для серьезных бесед.,Однако притомился я для серьезных беседник.,бесед,беседник,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,2
189916,Вы полезное для бизнеса делаете дело.,Вы полезное для бизнеса делаете делнико.,дело,делнико,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,4
153697,Из-за очков и белый билет получил.,Из-за очков и белистый билет получил.,белый,белистый,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,4
239656,У них с Маргарет разные матери?,У них с Маргарет разные матникери?,матери,матникери,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,3
221051,Зуга занял слишком заметное положение.,Зуга занял слишком заметатное положение.,заметное,заметатное,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,3
201961,Элкью показал Дэнни большой палец.,Элкью показал Дэнни большской палец.,большой,большской,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,2
188935,Так просто разрешался национальный вопрос.,Так просто разрешался национальный вопросчик.,вопрос,вопросчик,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,2
225211,Колченогий Вирем со страху все выложил.,Колченогистий Вирем со страху все выложил.,Колченогий,Колченогистий,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,3
227885,Этот судебный чин был колдун.,Этот судебный чинец был колдун.,чин,чинец,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,2
204762,Они замахнулись на самое время!,Они замахнулись на самое времщикя!,время,времщикя,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,2
236729,"Та хоть маленькая, а понимает.","Та хоть маловенькая, а понимает.",маленькая,маловенькая,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,2
149514,Он для нашего нового предприятия все!,Он для нашего новизного предприятия все!,нового,новизного,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,2
204115,И грибов – папиного собственного сбора.,И грибов – папиного собственного сбореца.,сбора,сбореца,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,2
130469,А я человек не великий.,А я человек не великоватий.,великий,великоватий,Morphology,Word Formation,add_new_suffix,add_new_suffix,librusec,2
