id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
97265,Сам о скалу какую-нибудь треснулся.,Сам о скалу никакую треснулся.,какую-нибудь,никакую,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
146194,Хотя нет что-то я умею.,Хотя нет ничего я умею.,что-то,ничего,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,1
114551,"Поди, лежит где-нибудь под ракитой?","Поди, лежит нигде под ракитой?",где-нибудь,нигде,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,3
97157,"Ньюандер оживился, ожидая какое-нибудь откровение.","Ньюандер оживился, ожидая никакое откровение.",какое-нибудь,никакое,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,3
98203,"Сэганта что-то затевает, это несомненно.","Сэганта ничего затевает, это несомненно.",что-то,ничего,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
144983,А то вот Меня какого-то хотят.,А то вот Меня никакого хотят.,какого-то,никакого,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
145514,Что-то в Лили Денев настораживало ее.,Ничто в Лили Денев настораживало ее.,Что-то,Ничто,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,3
69217,Раздобыла мне какие-нибудь свежие сплетни?,Раздобыла мне никакие свежие сплетни?,какие-нибудь,никакие,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
145164,"Походу, этот Прайн что-то знал.","Походу, этот Прайн ничего знал.",что-то,ничего,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,3
80607,"Боб обмяк, хотел что-то сказать.","Боб обмяк, хотел ничего сказать.",что-то,ничего,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,3
154006,В решение обкома когда-нибудь попадем.,В решение обкома никогда попадем.,когда-нибудь,никогда,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
90821,Что-то Род перемудрил с человеком!,Ничто Род перемудрил с человеком!,Что-то,Ничто,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
68204,Что-то дрогнуло в лице Эрхала.,Ничто дрогнуло в лице Эрхала.,Что-то,Ничто,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
111978,И я их где-то понимал.,И я их нигде понимал.,где-то,нигде,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,1
86546,Где-то Айрунги уже слышал этот голос...,Нигде Айрунги уже слышал этот голос...,Где-то,Нигде,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
78620,Чего-то недоставало сейчас на илистом берегу.,Ничто недоставало сейчас на илистом берегу.,Чего-то,Ничто,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
141830,"Чего-то ты взял, вроде солому...","Ничто ты взял, вроде солому...",Чего-то,Ничто,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
134854,Где-то позади разыскивала их армия идоноев.,Нигде позади разыскивала их армия идоноев.,Где-то,Нигде,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
106872,Чем-то там руководит в Сити.,Ничем там руководит в Сити.,Чем-то,Ничем,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
149989,Но вдруг Такис что-то забормотал.,Но вдруг Такис ничего забормотал.,что-то,ничего,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,1
76863,Белояра с людьми кто-то ждал.,Белояра с людьми никто ждал.,кто-то,никто,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,3
146487,Он использовал какую-то машину хичи.,Он использовал никакую машину хичи.,какую-то,никакую,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
65050,Где-то близко в осыпях свистят пищухи.,Нигде близко в осыпях свистят пищухи.,Где-то,Нигде,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,3
81911,Когда-нибудь она может стоить ему работы.,Никогда она может стоить ему работы.,Когда-нибудь,Никогда,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
92763,А здесь постоянно кто-то жил.,А здесь постоянно никто жил.,кто-то,никто,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,1
91547,Униола что-то шептала нашим ногам.,Униола ничего шептала нашим ногам.,что-то,ничего,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
111965,"Лекарство какое-то понадобится, еще что.","Лекарство никакое понадобится, еще что.",какое-то,никакое,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,3
114386,Он уже меня считал каким-то банком.,Он уже меня считал никаким банком.,каким-то,никаким,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
97025,Жанин боролась с какой-то молодой женщиной.,Жанин боролась с никакой молодой женщиной.,какой-то,никакой,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
130433,"Право потемнели, за какой-то час!","Право потемнели, за никакой час!",какой-то,никакой,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
64669,Кто-то отвернулся – и нет ее...,Никто отвернулся – и нет ее...,Кто-то,Никто,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
76246,Дьякон Ахилла все давно что-то мурлычит.,Дьякон Ахилла все давно ничего мурлычит.,что-то,ничего,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
137998,Это Управление чего-то мудрить стало.,Это Управление ничто мудрить стало.,чего-то,ничто,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,3
73559,Эрду показалось: сотник сказал что-то.,Эрду показалось: сотник сказал ничего.,что-то,ничего,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
152636,Так объяснял ему когда-то Матокин.,Так объяснял ему никогда Матокин.,когда-то,никогда,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,1
128337,На сердце просто плита какая-то лежит.,На сердце просто плита никакая лежит.,какая-то,никакая,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,3
97926,Для корабля граннов возникла какая-то опасность?,Для корабля граннов возникла никакая опасность?,какая-то,никакая,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,3
129103,Кто-то брякнул из дорогих землячков.,Никто брякнул из дорогих землячков.,Кто-то,Никто,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
113630,Определенно Вельвит держит где-то оружие.,Определенно Вельвит держит нигде оружие.,где-то,нигде,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,1
116067,"Не иначе, опять кого-то спасла.","Не иначе, опять никого спасла.",кого-то,никого,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
134189,Ждали экипажа из какой-то редакции.,Ждали экипажа из никакой редакции.,какой-то,никакой,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
88245,Деджагор превратился в какой-то вороний парадиз.,Деджагор превратился в никакой вороний парадиз.,какой-то,никакой,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
151839,"Тесные какие-то автомобили стали, господа.","Тесные никакие автомобили стали, господа.",какие-то,никакие,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,3
101766,Разве Андрей когда-нибудь слышал об алиментах?,Разве Андрей никогда слышал об алиментах?,когда-нибудь,никогда,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
147118,Дома Елена что-то готовила на кухне.,Дома Елена ничего готовила на кухне.,что-то,ничего,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
78751,Вы когда-нибудь бывали в Коннемейре?,Вы никогда бывали в Коннемейре?,когда-нибудь,никогда,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
86941,Самсон Медок имеет что-то важное.,Самсон Медок имеет ничего важное.,что-то,ничего,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,3
119199,Ему какой-то капитан информацию собирает.,Ему никакой капитан информацию собирает.,какой-то,никакой,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
96460,Только танцевали сейчас что-то быстрое.,Только танцевали сейчас ничего быстрое.,что-то,ничего,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
86399,Вышли каким-то образом на Сиделина.,Вышли никаким образом на Сиделина.,каким-то,никаким,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,3
74204,Подошла где-то без чего-то час.,Подошла нигде без чего-то час.,где-то,нигде,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,3
119896,Но Льешо придется что-то предпринять.,Но Льешо придется ничего предпринять.,что-то,ничего,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
140644,Чтоб где-нибудь встречали радушнее друзей.,Чтоб нигде встречали радушнее друзей.,где-нибудь,нигде,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,1
123867,Долгие месяцы ты ждала когда-то земли.,Долгие месяцы ты ждала никогда земли.,когда-то,никогда,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
149411,Коттес попытался найти какой-нибудь пустяковый предлог.,Коттес попытался найти никакой пустяковый предлог.,какой-нибудь,никакой,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,3
108227,Там все нации когда-то перемешались.,Там все нации никогда перемешались.,когда-то,никогда,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
84705,Где-то возле Моната находился Казз.,Нигде возле Моната находился Казз.,Где-то,Нигде,Syntax,Negation,indefinite_pronoun_to_negative,negative_pronouns_to,librusec,2
