id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
99921,На прошлой неделе этого не знал?,На будущей неделе этого не знал?,прошлой,будущей,Semantics,Tense,tense_marker,tense_marker_expression,librusec,2
93348,"В прошлом году, эва хватила!","В грядущем году, эва хватила!",прошлом,грядущем,Semantics,Tense,tense_marker,tense_marker_expression,librusec,2
101629,Пять было в прошлом году.,Пять было в будущем году.,прошлом,будущем,Semantics,Tense,tense_marker,tense_marker_expression,librusec,2
101322,В прошлый выход такого не было.,В грядущий выход такого не было.,прошлый,грядущий,Semantics,Tense,tense_marker,tense_marker_expression,librusec,2
94426,И священник в прошлом году умер.,И священник в грядущем году умер.,прошлом,грядущем,Semantics,Tense,tense_marker,tense_marker_expression,librusec,2
88262,На будущий год и эти бросим.,На минувший год и эти бросим.,будущий,минувший,Semantics,Tense,tense_marker,tense_marker_expression,librusec,3
99229,В прошлом году так сфотографировали даже.,В будущем году так сфотографировали даже.,прошлом,будущем,Semantics,Tense,tense_marker,tense_marker_expression,librusec,2
100039,А в прошлые революции было же?,А в будущие революции было же?,прошлые,будущие,Semantics,Tense,tense_marker,tense_marker_expression,librusec,2
96221,Гаррик унаследовал титул в прошлом году.,Гаррик унаследовал титул в грядущем году.,прошлом,грядущем,Semantics,Tense,tense_marker,tense_marker_expression,librusec,2
88677,В прошлом же году пригласили Вуджета.,В грядущем же году пригласили Вуджета.,прошлом,грядущем,Semantics,Tense,tense_marker,tense_marker_expression,librusec,3
88962,На прошлой неделе только были.,На будущей неделе только были.,прошлой,будущей,Semantics,Tense,tense_marker,tense_marker_expression,librusec,2
95895,Ты в прошлом году жил.,Ты в грядущем году жил.,прошлом,грядущем,Semantics,Tense,tense_marker,tense_marker_expression,librusec,2
99650,Они в прошлом годе туточки проходили.,Они в будущем годе туточки проходили.,прошлом,будущем,Semantics,Tense,tense_marker,tense_marker_expression,librusec,2
110356,Я занимался дома в прошлом году.,Я занимался дома в грядущем году.,прошлом,грядущем,Semantics,Tense,tense_marker,tense_marker_expression,librusec,2
98513,На прошлой неделе Лебедков привез одного.,На будущей неделе Лебедков привез одного.,прошлой,будущей,Semantics,Tense,tense_marker,tense_marker_expression,librusec,2
112496,В прошлом году сервы напали.,В грядущем году сервы напали.,прошлом,грядущем,Semantics,Tense,tense_marker,tense_marker_expression,librusec,2
99290,В прошлый раз вы туда написали!,В будущий раз вы туда написали!,прошлый,будущий,Semantics,Tense,tense_marker,tense_marker_expression,librusec,2
105350,Вот в прошлый мясоед отняла.,Вот в наступающий мясоед отняла.,прошлый,наступающий,Semantics,Tense,tense_marker,tense_marker_expression,librusec,2
91591,В прошлом году получил наследство.,В будущем году получил наследство.,прошлом,будущем,Semantics,Tense,tense_marker,tense_marker_expression,librusec,2
92119,Вот и написал в прошлой жизни.,Вот и написал в будущей жизни.,прошлой,будущей,Semantics,Tense,tense_marker,tense_marker_expression,librusec,2
93665,Окрестный люд в прошлом году поверил.,Окрестный люд в будущем году поверил.,прошлом,будущем,Semantics,Tense,tense_marker,tense_marker_expression,librusec,3
106301,В прошлом месяце и виделись.,В будущем месяце и виделись.,прошлом,будущем,Semantics,Tense,tense_marker,tense_marker_expression,librusec,2
90647,В прошлую среду приступ был.,В будущую среду приступ был.,прошлую,будущую,Semantics,Tense,tense_marker,tense_marker_expression,librusec,2
88329,Газ только в прошлом году провели.,Газ только в грядущем году провели.,прошлом,грядущем,Semantics,Tense,tense_marker,tense_marker_expression,librusec,2
111647,Это Ваха в прошлый приезд сообщил.,Это Ваха в будущий приезд сообщил.,прошлый,будущий,Semantics,Tense,tense_marker,tense_marker_expression,librusec,2
104584,В прошлом году праздник земляне пропустили.,В будущем году праздник земляне пропустили.,прошлом,будущем,Semantics,Tense,tense_marker,tense_marker_expression,librusec,2
91377,На прошлой неделе соскочил под залог.,На будущей неделе соскочил под залог.,прошлой,будущей,Semantics,Tense,tense_marker,tense_marker_expression,librusec,3
93557,В прошлом году тост произносила Панталоша.,В грядущем году тост произносила Панталоша.,прошлом,грядущем,Semantics,Tense,tense_marker,tense_marker_expression,librusec,2
111678,В прошлом месяце еще выписана.,В будущем месяце еще выписана.,прошлом,будущем,Semantics,Tense,tense_marker,tense_marker_expression,librusec,2
113315,На прошлой неделе один вазу выиграл.,На будущей неделе один вазу выиграл.,прошлой,будущей,Semantics,Tense,tense_marker,tense_marker_expression,librusec,3
88841,Мне в прошлый раз даос гадал.,Мне в будущий раз даос гадал.,прошлый,будущий,Semantics,Tense,tense_marker,tense_marker_expression,librusec,2
94216,Ранчера Вайдемоса приговорили на прошлой неделе.,Ранчера Вайдемоса приговорили на будущей неделе.,прошлой,будущей,Semantics,Tense,tense_marker,tense_marker_expression,librusec,3
95845,Наш кансама на прошлой неделе женился.,Наш кансама на будущей неделе женился.,прошлой,будущей,Semantics,Tense,tense_marker,tense_marker_expression,librusec,3
112897,Еще в прошлом годе потерял!,Еще в будущем годе потерял!,прошлом,будущем,Semantics,Tense,tense_marker,tense_marker_expression,librusec,2
93479,Поступила в прошлом году на исторический.,Поступила в будущем году на исторический.,прошлом,будущем,Semantics,Tense,tense_marker,tense_marker_expression,librusec,3
108750,В прошлом году многим пришлось вернуться.,В будущем году многим пришлось вернуться.,прошлом,будущем,Semantics,Tense,tense_marker,tense_marker_expression,librusec,2
98553,Мугни исчез в прошлом году.,Мугни исчез в будущем году.,прошлом,будущем,Semantics,Tense,tense_marker,tense_marker_expression,librusec,2
91967,Море Лена увидела в прошлом году.,Море Лена увидела в грядущем году.,прошлом,грядущем,Semantics,Tense,tense_marker,tense_marker_expression,librusec,2
89468,"Был, умер в прошлом году.","Был, умер в будущем году.",прошлом,будущем,Semantics,Tense,tense_marker,tense_marker_expression,librusec,3
94491,Унаследовал титул брата в прошлом году.,Унаследовал титул брата в грядущем году.,прошлом,грядущем,Semantics,Tense,tense_marker,tense_marker_expression,librusec,3
179994,Вчера от царевича вернулся еле жив.,Завтра от царевича вернулся еле жив.,Вчера,завтра,Semantics,Tense,tense_marker,tense_marker_simple,librusec,3
184540,Дашка не заметила этого вчера.,Дашка не заметила этого завтра.,вчера,завтра,Semantics,Tense,tense_marker,tense_marker_simple,librusec,1
189035,А может сама вчера подняла его?,А может сама завтра подняла его?,вчера,завтра,Semantics,Tense,tense_marker,tense_marker_simple,librusec,1
141675,Попадет за это лишь завтра.,Попадет за это лишь вчера.,завтра,вчера,Semantics,Tense,tense_marker,tense_marker_simple,librusec,3
204203,"Вчера ворожила, сожгла его воротник.","Завтра ворожила, сожгла его воротник.",Вчера,завтра,Semantics,Tense,tense_marker,tense_marker_simple,librusec,3
190045,А он вчера Кирилла не кусал?,А он завтра Кирилла не кусал?,вчера,завтра,Semantics,Tense,tense_marker,tense_marker_simple,librusec,1
184041,Варек вчера согласился служить не-мертвым.,Варек завтра согласился служить не-мертвым.,вчера,завтра,Semantics,Tense,tense_marker,tense_marker_simple,librusec,2
149611,Мне вчера его Генчик подарил.,Мне завтра его Генчик подарил.,вчера,завтра,Semantics,Tense,tense_marker,tense_marker_simple,librusec,1
139505,"Значит, прав оказался вчера Виктор.","Значит, прав оказался завтра Виктор.",вчера,завтра,Semantics,Tense,tense_marker,tense_marker_simple,librusec,2
220322,Сшиб ветр его вчера со свистом.,Сшиб ветр его завтра со свистом.,вчера,завтра,Semantics,Tense,tense_marker,tense_marker_simple,librusec,2
183739,Он куплен в Кадинске вчера.,Он куплен в Кадинске завтра.,вчера,завтра,Semantics,Tense,tense_marker,tense_marker_simple,librusec,2
151126,Ты вчера это легко делала!,Ты завтра это легко делала!,вчера,завтра,Semantics,Tense,tense_marker,tense_marker_simple,librusec,1
197513,Нелли дома – явилась вчера вечером!,Нелли дома – явилась завтра вечером!,вчера,завтра,Semantics,Tense,tense_marker,tense_marker_simple,librusec,3
151658,Вчера привезли на семнадцать телег меньше.,Завтра привезли на семнадцать телег меньше.,Вчера,завтра,Semantics,Tense,tense_marker,tense_marker_simple,librusec,3
204912,Вчера Вьянчи принес жалобу дарнигару.,Завтра Вьянчи принес жалобу дарнигару.,Вчера,завтра,Semantics,Tense,tense_marker,tense_marker_simple,librusec,1
244400,Вчера только еще семерых таких принесла.,Завтра только еще семерых таких принесла.,Вчера,завтра,Semantics,Tense,tense_marker,tense_marker_simple,librusec,3
245373,Еще вчера сломался – в Пряхине.,Еще завтра сломался – в Пряхине.,вчера,завтра,Semantics,Tense,tense_marker,tense_marker_simple,librusec,3
195127,Иваныч вчера же и разрядил.,Иваныч завтра же и разрядил.,вчера,завтра,Semantics,Tense,tense_marker,tense_marker_simple,librusec,2
223114,Йошитоми еще вчера приметил Лэнга.,Йошитоми еще завтра приметил Лэнга.,вчера,завтра,Semantics,Tense,tense_marker,tense_marker_simple,librusec,2
217796,Вот здесь вчера - повилика вилась.,Вот здесь завтра - повилика вилась.,вчера,завтра,Semantics,Tense,tense_marker,tense_marker_simple,librusec,3
