id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
103106,И не спасут никакое способности.,И не спасут какое-нибудь способности.,никакое,какое-нибудь,Syntax,Negation,negative_pronoun_to_indefinite,negative_pronouns_from,librusec,2
61043,Сам – и никого не спросил!,Сам – и кого-нибудь не спросил!,никого,кого-нибудь,Syntax,Negation,negative_pronoun_to_indefinite,negative_pronouns_from,librusec,2
100432,Но никого вы не создали.,Но кого-нибудь вы не создали.,никого,кого-нибудь,Syntax,Negation,negative_pronoun_to_indefinite,negative_pronouns_from,librusec,1
80593,Не боюсь я никаких молний.,Не боюсь я каких-нибудь молний.,никаких,каких-нибудь,Syntax,Negation,negative_pronoun_to_indefinite,negative_pronouns_from,librusec,2
103884,Уж так никто не говорит.,Уж так кто-нибудь не говорит.,никто,кто-нибудь,Syntax,Negation,negative_pronoun_to_indefinite,negative_pronouns_from,librusec,2
97635,У ней проблем никогда не было.,У ней проблем когда-нибудь не было.,никогда,когда-нибудь,Syntax,Negation,negative_pronoun_to_indefinite,negative_pronouns_from,librusec,2
99388,Ведь под другим ничто не стыкуется.,Ведь под другим что-то не стыкуется.,ничто,что-то,Syntax,Negation,negative_pronoun_to_indefinite,negative_pronouns_from,librusec,2
93799,И чему никогда не можем научиться.,И чему когда-нибудь не можем научиться.,никогда,когда-нибудь,Syntax,Negation,negative_pronoun_to_indefinite,negative_pronouns_from,librusec,2
96626,Взрослым никогда этого не доверяют.,Взрослым когда-нибудь этого не доверяют.,никогда,когда-нибудь,Syntax,Negation,negative_pronoun_to_indefinite,negative_pronouns_from,librusec,1
80187,А лейтенант уже никого не остановит.,А лейтенант уже кого-нибудь не остановит.,никого,кого-нибудь,Syntax,Negation,negative_pronoun_to_indefinite,negative_pronouns_from,librusec,1
58079,Это не прошло вообще никогда.,Это не прошло вообще когда-нибудь.,никогда,когда-нибудь,Syntax,Negation,negative_pronoun_to_indefinite,negative_pronouns_from,librusec,2
75112,Но никто особенно и не ловит.,Но кто-нибудь особенно и не ловит.,никто,кто-нибудь,Syntax,Negation,negative_pronoun_to_indefinite,negative_pronouns_from,librusec,1
91441,Больше никаких мер Миаха не принял.,Больше каких-нибудь мер Миаха не принял.,никаких,каких-нибудь,Syntax,Negation,negative_pronoun_to_indefinite,negative_pronouns_from,librusec,2
67879,В два десять никого не было.,В два десять кого-нибудь не было.,никого,кого-нибудь,Syntax,Negation,negative_pronoun_to_indefinite,negative_pronouns_from,librusec,2
74511,Но никакого тока теперь не было.,Но какого-нибудь тока теперь не было.,никакого,какого-нибудь,Syntax,Negation,negative_pronoun_to_indefinite,negative_pronouns_from,librusec,2
