id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
4002,Уюк не станет мужем Росы никогда!,Уюк станет мужем не Росы никогда!,не,не,Syntax,Negation,negative_concord,negative_concord,librusec,2
19459,Никто прежде никогда не говорил ему такого.,Никто прежде никогда говорил ему не такого.,не,не,Syntax,Negation,negative_concord,negative_concord,librusec,1
1348,Роман никогда не видел сестру такой.,Роман никогда видел сестру не такой.,не,не,Syntax,Negation,negative_concord,negative_concord,librusec,1
68151,Никогда не говорила мне об Опальском.,Никогда говорила мне не об Опальском.,не,не,Syntax,Negation,negative_concord,negative_concord,librusec,2
15026,Артур еще никогда не видел ее такой.,Артур еще никогда видел ее не такой.,не,не,Syntax,Negation,negative_concord,negative_concord,librusec,2
49616,Майна никогда не ела фриты вилкой.,Майна никогда ела фриты не вилкой.,не,не,Syntax,Negation,negative_concord,negative_concord,librusec,2
59467,Я никогда не забуду выражение лица Парскета.,Я никогда забуду выражение не лица Парскета.,не,не,Syntax,Negation,negative_concord,negative_concord,librusec,3
28806,Кара никогда не могла уложить волосы руками.,Кара никогда могла уложить волосы не руками.,не,не,Syntax,Negation,negative_concord,negative_concord,librusec,2
62021,Джон никогда не целовал ее так.,Джон никогда целовал ее не так.,не,не,Syntax,Negation,negative_concord,negative_concord,librusec,1
26143,Я ничего не говорила ороли невесты.,Я ничего говорила ороли не невесты.,не,не,Syntax,Negation,negative_concord,negative_concord,librusec,2
32185,Никто не совершил ничего после ее получения.,Никто совершил ничего не после ее получения.,не,не,Syntax,Negation,negative_concord,negative_concord,librusec,2
50402,Бав-ли никогда не изменял круга ваших мыслей.,Бав-ли никогда изменял круга не ваших мыслей.,не,не,Syntax,Negation,negative_concord,negative_concord,librusec,3
15863,Неужели никогда не видела эльфа ночью?,Неужели никогда видела эльфа не ночью?,не,не,Syntax,Negation,negative_concord,negative_concord,librusec,1
27388,Никто еще никогда не говорил ей этого.,Никто еще никогда говорил ей не этого.,не,не,Syntax,Negation,negative_concord,negative_concord,librusec,2
3255,Но Пето никогда не разрывал круга Стражей.,Но Пето никогда разрывал круга не Стражей.,не,не,Syntax,Negation,negative_concord,negative_concord,librusec,2
37566,Ву никогда не спрашивал имени скульптора.,Ву никогда спрашивал имени не скульптора.,не,не,Syntax,Negation,negative_concord,negative_concord,librusec,2
62947,Никогда не видела созданий наглее!,Никогда видела созданий не наглее!,не,не,Syntax,Negation,negative_concord,negative_concord,librusec,1
1430,Никогда не принимаешь смерть друга.,Никогда принимаешь смерть не друга.,не,не,Syntax,Negation,negative_concord,negative_concord,librusec,2
57587,Никто не осмеливался поднять оружие на Сура.,Никто осмеливался поднять оружие не на Сура.,не,не,Syntax,Negation,negative_concord,negative_concord,librusec,3
72731,Я никогда не хотела их от тебя!,Я никогда хотела их не от тебя!,не,не,Syntax,Negation,negative_concord,negative_concord,librusec,2
53054,Никто не писал ему ничего!,Никто писал ему не ничего!,не,не,Syntax,Negation,negative_concord,negative_concord,librusec,1
73400,Никогда Ханнар не обнимала его так.,Никогда Ханнар обнимала его не так.,не,не,Syntax,Negation,negative_concord,negative_concord,librusec,1
7662,"Раздарит, не оставив мне ровно ничего.","Раздарит, оставив мне не ровно ничего.",не,не,Syntax,Negation,negative_concord,negative_concord,librusec,3
67203,Я никогда не висела его прежде.,Я никогда висела его не прежде.,не,не,Syntax,Negation,negative_concord,negative_concord,librusec,1
31202,Ничто не дается нам так.,Ничто дается нам не так.,не,не,Syntax,Negation,negative_concord,negative_concord,librusec,1
65968,Никогда не ешьте травы времени!,Никогда ешьте травы не времени!,не,не,Syntax,Negation,negative_concord,negative_concord,librusec,2
67796,Ничего не поделаешь результат воспитания.,Ничего поделаешь результат не воспитания.,не,не,Syntax,Negation,negative_concord,negative_concord,librusec,2
39590,Мисани никогда не выставляла чувства напоказ.,Мисани никогда выставляла чувства не напоказ.,не,не,Syntax,Negation,negative_concord,negative_concord,librusec,1
41415,Никто никогда не ждал его прежде.,Никто никогда ждал его не прежде.,не,не,Syntax,Negation,negative_concord,negative_concord,librusec,1
78162,Никто более не заметил трудноуловимую вонь зла.,Никто более заметил трудноуловимую вонь не зла.,не,не,Syntax,Negation,negative_concord,negative_concord,librusec,2
