id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
9767,Мы почти каждый день обходим корабль.,Мы почти каждый день обойдем корабль.,обходим,обойдем,Semantics,Aspect,change_repetition_aspect,change_repetition_aspect,librusec,3
8269,Их труппа каждый год обходила семь вейлов.,Их труппа каждый год обошла семь вейлов.,обходила,обошла,Semantics,Aspect,change_repetition_aspect,change_repetition_aspect,librusec,4
9212,Почему Токио каждый раз возрождался?,Почему Токио каждый раз возродился?,возрождался,возродился,Semantics,Aspect,change_repetition_aspect,change_repetition_aspect,librusec,2
7465,С каждой минутой приближался миг старта.,С каждой минутой приблизился миг старта.,приближался,приблизился,Semantics,Aspect,change_repetition_aspect,change_repetition_aspect,librusec,3
5384,Такие подарки она получала потом ежегодно.,Такие подарки она получила потом ежегодно.,получала,получила,Semantics,Aspect,change_repetition_aspect,change_repetition_aspect,librusec,2
7105,Боль приходила к маленькому Тэйну ежедневно.,Боль пришла к маленькому Тэйну ежедневно.,приходила,пришла,Semantics,Aspect,change_repetition_aspect,change_repetition_aspect,librusec,2
6405,И каждый раз занимал закрытую ложу.,И каждый раз занял закрытую ложу.,занимал,занял,Semantics,Aspect,change_repetition_aspect,change_repetition_aspect,librusec,3
6697,У Петра ежедневно зарождались новые планы.,У Петра ежедневно зародились новые планы.,зарождались,зародились,Semantics,Aspect,change_repetition_aspect,change_repetition_aspect,librusec,3
8464,Теперь каждый день подносил Нене сюрпризы.,Теперь каждый день поднес Нене сюрпризы.,подносил,поднес,Semantics,Aspect,change_repetition_aspect,change_repetition_aspect,librusec,2
5425,Но он каждый раз успевал.,Но он каждый раз успел.,успевал,успел,Semantics,Aspect,change_repetition_aspect,change_repetition_aspect,librusec,2
8268,Каждый день проходите по шестьдесят кварталов.,Каждый день пройдете по шестьдесят кварталов.,проходите,пройдете,Semantics,Aspect,change_repetition_aspect,change_repetition_aspect,librusec,3
4950,Но каждый раз спрашивала про Артема.,Но каждый раз спросила про Артема.,спрашивала,спросила,Semantics,Aspect,change_repetition_aspect,change_repetition_aspect,librusec,3
6309,И песни с каждым днем убывали.,И песни с каждым днем убыли.,убывали,убыли,Semantics,Aspect,change_repetition_aspect,change_repetition_aspect,librusec,2
7538,И Пророков каждый раз откликался.,И Пророков каждый раз откликнулся.,откликался,откликнулся,Semantics,Aspect,change_repetition_aspect,change_repetition_aspect,librusec,2
5745,А письма мы получали почти ежедневно.,А письма мы получили почти ежедневно.,получали,получили,Semantics,Aspect,change_repetition_aspect,change_repetition_aspect,librusec,2
6833,Почти ежедневно приводили новых арестантов.,Почти ежедневно привели новых арестантов.,приводили,привели,Semantics,Aspect,change_repetition_aspect,change_repetition_aspect,librusec,3
6867,Попойки в монастырях происходили ежедневно.,Попойки в монастырях произошли ежедневно.,происходили,произошли,Semantics,Aspect,change_repetition_aspect,change_repetition_aspect,librusec,3
5280,Но Китамото ежедневно усаживался перед зеркалом.,Но Китамото ежедневно уселся перед зеркалом.,усаживался,уселся,Semantics,Aspect,change_repetition_aspect,change_repetition_aspect,librusec,2
8472,Словно каждый день встречался с людьмиподобного рода.,Словно каждый день встретился с людьмиподобного рода.,встречался,встретился,Semantics,Aspect,change_repetition_aspect,change_repetition_aspect,librusec,3
4844,Таинственная Механика Каждый Час Перемалывала Катрин.,Таинственная Механика Каждый Час Перемолола Катрин.,Перемалывала,Перемолола,Semantics,Aspect,change_repetition_aspect,change_repetition_aspect,librusec,3
6815,Также и одежда ежедневно поглощала крупные суммы.,Также и одежда ежедневно поглотила крупные суммы.,поглощала,поглотила,Semantics,Aspect,change_repetition_aspect,change_repetition_aspect,librusec,3
5143,Инструкции из Москвы каждый раз подчеркивали это.,Инструкции из Москвы каждый раз подчеркнули это.,подчеркивали,подчеркнули,Semantics,Aspect,change_repetition_aspect,change_repetition_aspect,librusec,4
6271,Ежемесячно он получал сотни тысяч дохода.,Ежемесячно он получил сотни тысяч дохода.,получал,получил,Semantics,Aspect,change_repetition_aspect,change_repetition_aspect,librusec,3
5818,"Теперь каждый день рождались, новые слухи.","Теперь каждый день родились, новые слухи.",рождались,родились,Semantics,Aspect,change_repetition_aspect,change_repetition_aspect,librusec,3
7231,Лю Хань каждый раз отказывалась.,Лю Хань каждый раз отказалась.,отказывалась,отказалась,Semantics,Aspect,change_repetition_aspect,change_repetition_aspect,librusec,3
7281,И каждый раз поражалась такой охране.,И каждый раз поразилась такой охране.,поражалась,поразилась,Semantics,Aspect,change_repetition_aspect,change_repetition_aspect,librusec,3
