id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
43435,Не стоит его показывать хану.,Не стоит его показать хану.,показывать,показать,Semantics,Aspect,deontic_imperative_aspect,deontic_imp,librusec,2
20638,И мне не стоит себя обманывать.,И мне не стоит себя обмануть.,обманывать,обмануть,Semantics,Aspect,deontic_imperative_aspect,deontic_imp,librusec,2
35888,Не следовало бы сейчас его приводить.,Не следовало бы сейчас его привести.,приводить,привести,Semantics,Aspect,deontic_imperative_aspect,deontic_imp,librusec,2
22202,Не следует людям оставаться одним.,Не следует людям остаться одним.,оставаться,остаться,Semantics,Aspect,deontic_imperative_aspect,deontic_imp,librusec,2
32001,Не стоило ей отпускать Разгуляя.,Не стоило ей отпустить Разгуляя.,отпускать,отпустить,Semantics,Aspect,deontic_imperative_aspect,deontic_imp,librusec,2
40963,Парням Мамоны особо доверять не следует.,Парням Мамоны особо доверить не следует.,доверять,доверить,Semantics,Aspect,deontic_imperative_aspect,deontic_imp,librusec,3
15069,Не следовало далее испытывать судьбу.,Не следовало далее испытать судьбу.,испытывать,испытать,Semantics,Aspect,deontic_imperative_aspect,deontic_imp,librusec,2
32687,Ей не следует выходить из башни.,Ей не следует выйти из башни.,выходить,выйти,Semantics,Aspect,deontic_imperative_aspect,deontic_imp,librusec,3
40382,Керизе не следовало приходить сюда.,Керизе не следовало прийти сюда.,приходить,прийти,Semantics,Aspect,deontic_imperative_aspect,deontic_imp,librusec,2
18992,Не стоит уменьшать мое участие.,Не стоит уменьшить мое участие.,уменьшать,уменьшить,Semantics,Aspect,deontic_imperative_aspect,deontic_imp,librusec,3
24243,Мне не следует отправляться туда.,Мне не следует отправиться туда.,отправляться,отправиться,Semantics,Aspect,deontic_imperative_aspect,deontic_imp,librusec,2
32452,Не стоит забывать о пари.,Не стоит забыть о пари.,забывать,забыть,Semantics,Aspect,deontic_imperative_aspect,deontic_imp,librusec,3
