id,source_sentence,target_sentence,source_word,target_word,level,phenomenon,PID,subtype,domain,tree_depth
110682,Но мент уже выходит из машины.,Но мент уже выходет из машины.,выходит,выходет,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,2
154664,Теули уходят по дамбе на Тлакопан!,Теули уходют по дамбе на Тлакопан!,уходят,уходют,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,3
12512,У меня сейчас знаешь какая бикса!,У меня сейчас знаишь какая бикса!,знаешь,знаишь,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,3
209241,Видит многое на четыре хода вперед.,Видет многое на четыре хода вперед.,Видит,Видет,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,2
290802,Но он ухе ничего не чувствует.,Но он ухе ничего не чувствуит.,чувствует,чувствуит,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,1
23400,Но пока ты душ примешь...,Но пока ты душ примишь...,примешь,примишь,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,1
156184,"А может, это люди Варшагова?","А можит, это люди Варшагова?",может,можит,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,2
152873,Где стоит этот хренов храм?,Где стоет этот хренов храм?,стоит,стоет,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,2
206873,Как мама задает тебе трепки!,Как мама задаит тебе трепки!,задает,задаит,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,1
298676,"Интересно, куда поведет ее Антон?","Интересно, куда поведит ее Антон?",поведет,поведит,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,2
229545,Заодно и территорию его поимеет.,Заодно и территорию его поимеит.,поимеет,поимеит,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,2
211045,солнце и отменно передает цвет.,солнце и отменно передаит цвет.,передает,передаит,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,2
149173,Именно так выполняет ее Глеб.,Именно так выполняит ее Глеб.,выполняет,выполняит,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,2
15136,"Старик Манья выходит, опасливо помаргивая.","Старик Манья выходет, опасливо помаргивая.",выходит,выходет,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,3
264844,А вдруг сию минуту Озарук возникнет?,А вдруг сию минуту Озарук возникнит?,возникнет,возникнит,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,2
180008,По его слову и выйдет.,По его слову и выйдит.,выйдет,выйдит,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,2
60857,"которые я видел, она отсутствует.","которые я видел, она отсутствуит.",отсутствует,отсутствуит,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,2
288396,В режиме командира штрафбата меня использует!,В режиме командира штрафбата меня используит!,использует,используит,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,3
48243,Только теперь Леонид узнает Косарева.,Только теперь Леонид узнаит Косарева.,узнает,узнаит,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,1
201193,Или твой Платон по-другому считает?,Или твой Платон по-другому считаит?,считает,считаит,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,2
80221,Новое дело завладевает Линдой целиком.,Новое дело завладеваит Линдой целиком.,завладевает,завладеваит,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,2
22733,Сам к ней скоро поедешь...,Сам к ней скоро поедишь...,поедешь,поедишь,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,2
107806,"Проедем с нами, составим заявление!","Проедем с нами, составем заявление!",составим,составем,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,3
14593,Только Аргошку сперва на минутку выведем.,Только Аргошку сперва на минутку выведим.,выведем,выведим,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,2
155203,Да эдакий ли ум семейство осчастливит?,Да эдакий ли ум семейство осчастливет?,осчастливит,осчастливет,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,3
125641,И снова: спят на бочке.,И снова: спют на бочке.,спят,спют,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,3
154989,Там сумеют сбить эти железки.,Там сумеят сбить эти железки.,сумеют,сумеят,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,3
183074,А со двора согнать – может.,А со двора согнать – можит.,может,можит,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,3
251622,Новые крылья еще непроворными зыблет руками.,Новые крылья еще непроворными зыблит руками.,зыблет,зыблит,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,3
150912,"Умрем же, как умер Винтер.","Умрим же, как умер Винтер.",Умрем,Умрим,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,2
112380,"Лейддирфакт Мезе, начнем с вас.","Лейддирфакт Мезе, начним с вас.",начнем,начним,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,3
306723,Этот прибор записывает волны Лява.,Этот прибор записываит волны Лява.,записывает,записываит,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,2
139033,И из него стучат смертно морзянкой...,И из него стучут смертно морзянкой...,стучат,стучут,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,2
243930,Затвердевают уста и концом завершаются острым.,Затвердеваят уста и концом завершаются острым.,Затвердевают,Затвердеваят,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,2
93978,И защитник явно не успевает наперерез.,И защитник явно не успеваит наперерез.,успевает,успеваит,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,1
272894,Разве такой титул вообще существует?,Разве такой титул вообще существуит?,существует,существуит,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,2
89027,Однако выглядит он как меч.,Однако выглядет он как меч.,выглядит,выглядет,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,2
49494,И жену мою содержать тоже можешь...,И жену мою содержать тоже можишь...,можешь,можишь,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,3
77603,Так называют только родных людей.,Так называят только родных людей.,называют,называят,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,2
65648,"Но как играет пацан, видел.","Но как играит пацан, видел.",играет,играит,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,2
216760,Все материалы получишь у Сорокина.,Все материалы получешь у Сорокина.,получишь,получешь,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,3
181863,Поперечная линия АВ представляет состояние отдыха.,Поперечная линия АВ представляит состояние отдыха.,представляет,представляит,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,3
123242,Там в комнате вода стоит.,Там в комнате вода стоет.,стоит,стоет,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,2
11004,А на столе стояло знаешь что?,А на столе стояло знаишь что?,знаешь,знаишь,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,3
89741,Ославит теперь меня по полной программе.,Ославет теперь меня по полной программе.,Ославит,Ославет,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,2
189943,Не отдам — квартиру папанькину отберут.,Не отдам — квартиру папанькину отберат.,отберут,отберат,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,3
33971,Берет на борт десять солдат.,Берит на борт десять солдат.,Берет,Берит,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,3
178044,Все герои попадают в вирый.,Все герои попадаят в вирый.,попадают,попадаят,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,3
250820,"Все, этот район принадлежит ему.","Все, этот район принадлежет ему.",принадлежит,принадлежет,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,3
52941,Или одновременно лопнет и шар?..,Или одновременно лопнит и шар?..,лопнет,лопнит,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,2
125418,"Всегда, и тем себя выдает.","Всегда, и тем себя выдаит.",выдает,выдаит,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,2
228616,Он и там сделает план.,Он и там сделаит план.,сделает,сделаит,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,2
17490,Но ведь вопросы мучают ее.,Но ведь вопросы мучаят ее.,мучают,мучаят,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,2
144685,Понса Петронилла находит в трапезной.,Понса Петронилла находет в трапезной.,находит,находет,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,3
2072,Большое горе не любит крика.,Большое горе не любет крика.,любит,любет,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,2
143892,А потом заскочат навестить Валика.,А потом заскочут навестить Валика.,заскочат,заскочут,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,2
183152,А вдали – будто свет горит.,А вдали – будто свет горет.,горит,горет,Morphology,Word Inflection,change_verb_conjugation,change_verb_conjugation,librusec,2
